"occ_id","Record.ID","Data.Resource.ID","Data.Resource.Name","Institution.ID","Institution","Collection.ID","Collection","Licence","Catalogue.Number","Taxon.Concept.GUID","Scientific.Name...original","Vernacular.name...original","Scientific.Name","Taxon.Rank","Vernacular.name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Institution.Code","Collection.Code","Locality","Latitude...original","Longitude...original","Geodetic.datum...original","Latitude","Longitude","Coordinate.Uncertainty.in.Metres","Country...parsed","State...parsed","Minimum.elevation.in.meters","Maximum.elevation.in.meters","Minimum.depth.in.meters","Maximum.depth.in.meters","Individual.count","Year","Month","Basis.Of.Record","Basis.Of.Record...original","Occurrence.status","Sex","Taxonomic.Quality","Location.Quality","Collector","identified._.by","identified._.date","Record.number","raw._.sampling._.protocol","event._.id","Occurrence.status.assumed.to.be.present","Coordinates.are.out.of.range.for.species","Coordinates.dont.match.supplied.country","Day.and.month.transposed","Depth.value.supplied.in.feet","Depth.value.non.numeric","Depth.out.of.range","First.of.the.month","First.of.the.year","Identification.date.before.occurrence.date","Incomplete.collection.date","Invalid.collection.date","Name.not.in.national.checklists","Name.not.recognised","Collector.name.unparseable","Supplied.country.not.recognised","Kingdom.not.recognised","Type.status.not.recognised","Unrecognized.geodetic.datum","valid_coord",".val",".equ",".zer",".cap",".cen",".sea",".otl",".gbf",".inst",".summary"
"occ_525","0fb03c47-ae4f-4c28-a539-3d1c55ffa5e1","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",28831,138703,"Astyanax intermedius",NA,"Astyanax intermedius","species","","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","Astyanax intermedius","MNRJ","ICTIOLOGIAMNRJ","rio Araras (sub-bacia do rio Piabanha, afluente do rio Paraíba do Sul)",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"1",2003,6,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","","S.M.S.Dias,M.P.S.D.Borgovoni,*","F.Melo","2014-01-01",NA,NA,"SMSD2003062201","true","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"occ_526","0e9948fe-1f09-4935-8c5e-cda689fce960","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",17573,170053,"Astyanax",NA,"Astyanax","genus","Astynaxes","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","","MNRJ","ICTIOLOGIAMNRJ","alto rio Cangalha, fazenda Alta Pedra, mun. Formosa, GO",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"2",1981,8,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","","L.E.M. Cardoso","","",NA,NA,"LEMC81080501","true","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"occ_527","045710ba-cd6e-4277-b7f1-780655bb9b26","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",23136,138615,"Astyanax scabripinnis",NA,"Astyanax scabripinnis","species","Piaba sulana","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","Astyanax scabripinnis","MNRJ","ICTIOLOGIAMNRJ","córrego do Fozari, Pscicultura da Universidade Federal de São Carlos, SP",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"54",1997,10,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","","O.M.Filho","F.L.K.Salgado","2012-01-01",NA,NA,"OMF97102801","true","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"occ_528","0c288853-be77-48d3-a412-312285fa4d25","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",11571,170053,"Astyanax",NA,"Astyanax","genus","Astynaxes","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","","MNRJ","ICTIOLOGIAMNRJ","alto rio Cangalha, fazenda Alta Pedra, mun. Formosa, GO",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"6",1981,8,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","","L.E.M. Cardoso","","",NA,NA,"LEMC81080501","true","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"occ_529","00e0b424-18f0-4c09-b0b5-1a05e34a54d2","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",16642,202564,"Astyanax parahybae",NA,"Astyanax parahybae","species","Lambari","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","Astyanax parahybae","MNRJ","ICTIOLOGIAMNRJ","rio Pomba",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"32",1989,10,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","","D.F.Morais Jr","F.A.G.Melo","2001-01-01",NA,NA,"PPS89102101","true","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"occ_530","e963193f-39dd-4f6f-aaa6-cd54622b8fa2","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",2627,170053,"Astyanax",NA,"Astyanax","genus","Astynaxes","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","","MNRJ","ICTIOLOGIAMNRJ","Penedo, Rio S. Francisco",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","","F. Hartt","","",NA,NA,"Z2627","true","false","false","false","false","false","false","false","false","false","true","true","true","false","false","false","false","false","false",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"occ_531","238b93b7-d2bf-45b7-bb1d-1bfd4554b6ff","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",28759,138703,"Astyanax intermedius",NA,"Astyanax intermedius","species","","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","Astyanax intermedius","MNRJ","ICTIOLOGIAMNRJ","rio Maria Comprida (sub-bacia do rio Piabanha, afluente do rio Paraíba do Sul)",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"17",2002,7,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","","S.M.S.Dias,J.C.Oliveira,E.S.Tojoro, *","J.R.Gomes","2010-01-01",NA,NA,"SMSD2002071402","true","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"occ_532","1e9bdf68-1a2d-4239-9523-8e28a6c99dfd","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",10983,233108,"Astyanax janeiroensis",NA,"Astyanax janeiroensis","species","Lambari do rio","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","Astyanax janeiroensis","MNRJ","ICTIOLOGIAMNRJ","córrego do Barro Branco, estrada União Industria, Km 51",-22.7,-43.25,"unknown",-22.7,-43.25,NA,"",NA,NA,NA,NA,NA,"1",1941,7,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","true","A.Passareli Filho","F.A.G.Melo","2001-01-01",NA,NA,"APF41072601","true","false","false","false","false","false","false","false","false","false","false","false","true","false","false","true","false","false","true",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"occ_533","1e5c6c74-301f-4719-9376-ab0c47f8fb37","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",21857,170053,"Astyanax",NA,"Astyanax","genus","Astynaxes","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","","MNRJ","ICTIOLOGIAMNRJ","rio Mogi-guaçu, Emas, próx. a Pirassununga, Munic. de Pirassununga, São Paulo",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"28",1946,7,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","","Lauro Travassos","F.A.G.Melo","2001-01-01",NA,NA,"LT46070101","true","false","false","false","false","false","false","false","false","false","true","false","true","false","false","false","false","false","false",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"occ_534","14c4ae24-9553-426c-869b-2c5da075b5a6","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",28751,170053,"Astyanax",NA,"Astyanax","genus","Astynaxes","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","","MNRJ","ICTIOLOGIAMNRJ","rio Araras (sub-bacia do rio Piabanha, afluente do rio Paraíba do Sul)",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"2",2002,7,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","","S.M.S.Dias,J.C.Oliveira,E.S.Tojoro, *","","",NA,NA,"SMSD2002071401","true","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
